company_id,company,url_about_us,n_values,values,culture_summary,clean_text_length
0,"NTT America, Inc.",https://www.global.ntt/about-us/,3,Act with Integrity | Build Trust | Create Connections,"NTT fosters a purpose‑driven, collaborative culture that emphasizes integrity, trust and long‑term relationships. Innovation is embedded in its DNA, with strong focus on sustainability, diversity, inclusion and ethical business practices, encouraging continuous improvement and global teamwork.",4090
1,Henneo,https://www.henneo.com/quienes-somos/mision-vision-y-valores/,5,Historia | Emprendimiento | Innovación | Equipo | Orgullo de pertenencia,"Henneo se define como una empresa orientada a la información de alta calidad y al servicio vertebrador de la sociedad, con una visión de liderazgo nacional e innovación constante. Su cultura se basa en la confianza y ética (Historia), el impulso emprendedor y gestión por proyectos (Emprendimiento), la capacidad de crear y transformar modelos de negocio (Innovación), el trabajo colaborativo y desarrollo del talento (Equipo), y el orgullo de pertenecer a un grupo comprometido con la sociedad.",2664
2,Caixabank Digital Hub,https://www.caixabank.com/es/sobre-nosotros/conocenos/mision-vision-valores.html,3,Calidad | Confianza | Compromiso Social,"La cultura de CaixaBank prioriza a las personas, fomenta la agilidad y la colaboración, y se sustenta en los valores de calidad, confianza y compromiso social, con un fuerte enfoque en la inclusión financiera, la sostenibilidad y la innovación.",7987
3,Getnet,https://www.getnet.eu/sobre-getnet,3,Innovación | Seguridad | Crecimiento colaborativo,"Getnet combina la energía de una fintech joven con la solidez del Grupo Santander, fomentando una cultura orientada a la innovación constante, la seguridad en los pagos y el crecimiento conjunto de sus clientes, trabajando de manera global pero con enfoque local y colaborativo.",5473
4,Merlin Digital Partner,https://www.merlindp.com/en/merliners,3,"Merlin Digital Partner | IT & Digital Headhunting, Talent Mentoring, Onboarding | Barcelona, Spain","Una cultura apasionada, cercana y humorística que valora la experiencia del candidato, la combinación de habilidades técnicas y blandas, y el trabajo colaborativo. Fomenta la innovación, el crecimiento profesional y el compromiso con la calidad en la selección de talento digital.",3222
5,Darwin AI,https://www.getdarwin.ai/es/about-us?utm_source=Google&utm_campaign=BOFU-GG-TF-ESP-sembrand-AON&utm_content=generico&utm_term=darwin+ai%7Cphid-019a9c6b-ba04-7bd4-b364-863dbd6f87d2,7,AI-First thinkers | Extreme Ownership | Humble Learners | Double-Clickers | Move Fast & Break Things | Obsesión por el cliente | Nos divertimos,"Darwin AI fomenta una cultura centrada en la inteligencia artificial como motor de negocio, combinada con una mentalidad de rápido aprendizaje, alta responsabilidad y diversión. Los empleados se enfocan en empatía, creatividad y estrategia, delegando tareas repetitivas a agentes de IA. La empresa valora la obsesión por el cliente, la velocidad de ejecución, la curiosidad técnica (70% del equipo es talento tech) y la colaboración híbrida entre humanos y empleados digitales, operando en más de 20 países de América Latina.",5518
6,Qualentum,https://www.qualentum.com/nosotros/,7,"Especialistas en identificar, especializar y contratar talentos digitales y tecnológicos | Conectan jóvenes y empresas para que triunfen en la era tecnológica | Mejoran la vida de personas y compañías mediante desarrollo profesional y acceso a talento | Valores clave: Integridad, Pasión, Calidad, Mejora continua, Esfuerzo y Futuro | Dirección: C. de García Martín, 21, 28224 Pozuelo de Alarcón | Contacto: hola@qualentum.com | +34 917 873 991 | Equipo directivo: Cristina Chacón (Directora General), Miguel García‑San Román (Director de Negocio), etc.","Qualentum promueve una cultura basada en la integridad, la pasión por la tecnología y la búsqueda constante de calidad y mejora. Fomenta la diversidad, la transparencia y el esfuerzo colaborativo, apoyando tanto a candidatos como a empresas a crecer en un entorno dinámico y orientado al futuro.",3501
7,Plexus,https://www.plexus.es/somos/,5,"Plexus Tech | Tecnología y servicios IT | Más de 20 años en el mercado | ≈4.600 empleados (12/08/2025) | Clientes: empresas del IBEX35, grandes retailers, operadores turísticos y entidades financieras","Cultura centrada en las personas, con un modelo híbrido y flexible que prioriza el talento, el bienestar y la rapidez, fomentando la cercanía, adaptabilidad y crecimiento continuo de sus profesionales.",7631
8,Grupo Digital,https://www.grupodigital.eu/nosotros/,6,"Grupo Digital | Plaza de Castilla 328046, Madrid | Outsourcing de talento IT y consultoría | Certificaciones ISO 27001, ISO 9001, ISO 14001 | Compromiso con ODS, Pacto Mundial y programa DOGOOD PEOPLE | Enfoque en bienestar de empleados y mejora continua","Una cultura humana y tecnológica que prioriza el servicio al cliente, la innovación y el trabajo en equipo, fomentando el desarrollo profesional, la confianza y la sostenibilidad, con énfasis en la calidad, la seguridad de la información y el bienestar de sus empleados.",3149
9,Social You,https://socialyou.es,5,Calidad | Flexibilidad | Innovación | Orientación al cliente | Transparencia,"Socialyou fomenta una cultura de alta profesionalidad y aprendizaje continuo, centrada en ofrecer soluciones digitales y de IT con calidad y flexibilidad, orientada al éxito del cliente y basada en la colaboración, la mejora constante y la ética en el tratamiento de datos.",7853
