course_id,name,category,language,skills,what_you_learn,url,content_length
0,Network Security,Information Technology,English,"Computer Networking, Network Planning And Design, TCP/IP, Threat Detection, Cyber Attacks, General Networking, Encryption, Threat Management, Network Protocols, Firewall, Cloud Computing, Network Security, Cybersecurity, Data Centers, Infrastructure Security",,https://www.coursera.org/learn/-network-security,2093
1,Security Principles,Information Technology,English,"Cyber Security Policies, Data Integrity, Cybersecurity, Security Controls, Governance, Security Awareness, Cyber Risk, Risk Management Framework, Information Assurance, Cyber Governance, Data Ethics",,https://www.coursera.org/learn/-security-principles,1444
2,21st Century Energy Transition: how do we make it work?,Physical Science And Engineering,English,"Electric Power Systems, Environmental Policy, Transportation, Supply Chain, and Logistics, Innovation, Energy and Utilities, Oil and Gas, Sustainable Technologies, Sustainable Development, Supply Chain Management, Emerging Technologies, Environment, Climate Change Mitigation","Understand the complexity of systems supplying energy to people around the  world
Understand the complexity of systems supplying energy to people around the  world
Evaluate the merits and the costs associated with each major available energy  source
Evaluate the merits and the costs associated with each major available energy  source
Explore competing viewpoints of how quickly, practically and effectively global  societies can transition to alternative energy sources
Explore competing viewpoints of how quickly, practically and effectively global  societies can transition to alternative energy sources",https://www.coursera.org/learn/21st-century-energy-transition,1531
3,VR and 360 Video Production,Arts And Humanities,English,"Virtual Reality, Videography, Media Production, Post-Production, Augmented and Virtual Reality (AR/VR), Photo/Video Production and Technology, Editing, Virtual Environment, Video Production",,https://www.coursera.org/learn/360-vr-video-production,512
4,Foundations of Human Anatomy and Physiology,Health,English,"Vital Signs, Basic Patient Care, Anatomy, Health Assessment, Physiology, Respiration, Health Systems, Medical Terminology, Cell Biology, Biology, Human Musculoskeletal System","Learners will understand how body structure supports function in anatomy and physiology
Learners will understand how body structure supports function in anatomy and physiology
Learners will explore how cells, tissues, and organs work together to maintain homeostasis.
Learners will explore how cells, tissues, and organs work together to maintain homeostasis.",https://www.coursera.org/learn/3d-anatomy-physiology-foundations-interactive-course,498
5,3D CAD Application,Physical Science And Engineering,English,"Computer-Aided Design, Construction, 3D Assets, Architectural Drawing, 3D Modeling, SketchUp (3D Modeling Software), Architecture and Construction, Building Design",,https://www.coursera.org/learn/3d-cad-application,444
6,3D CAD Fundamental,Physical Science And Engineering,English,"Software Installation, SketchUp (3D Modeling Software), Visualization (Computer Graphics), 3D Assets, 3D Modeling",,https://www.coursera.org/learn/3d-cad-fundamental,1159
7,The Heart of the Matter: Exploring the Cardiovascular System,Health,English,"Diagnostic Tests, Vital Signs, Cardiac Dysrhythmia, Physiology, Cardiology, Hemodynamics, Respiration, Anatomy, Hematology, Patient Treatment, Capillary, Medical Terminology","Learners will explore the structure and function of the heart and blood vessels.
Learners will explore the structure and function of the heart and blood vessels.
Learners will trace blood flow through the body and its role in circulation, the cardiac cycle and blood pressure regulation.
Learners will trace blood flow through the body and its role in circulation, the cardiac cycle and blood pressure regulation.
Learners will apply cardiovascular knowledge to case studies, such as hypertension and heart failure.
Learners will apply cardiovascular knowledge to case studies, such as hypertension and heart failure.",https://www.coursera.org/learn/3d-cardiovascular-anatomy-physiology-interactive-course,614
8,3D Character Design Workshop with Nomad Sculpt,Arts And Humanities,English,"Color Theory, Animation and Game Design, 3D Modeling, Visualization (Computer Graphics), Creative Design, Computer Graphics, 3D Assets",,https://www.coursera.org/learn/3d-character-design-workshop-with-nomad-sculpt,2179
9,Current Gen 3D Game Prop Production,Arts And Humanities,English,"Computer Graphics, Graphical Tools, Computer Graphic Techniques, 3D Assets, 3D Modeling, Design Research, Baking, Prototyping","Model accurate block-in, mid poly meshes
Model accurate block-in, mid poly meshes
Create high poly models with a real world level of accuracy
Create high poly models with a real world level of accuracy
Create game-ready low poly meshes for a real-time environment
Create game-ready low poly meshes for a real-time environment
Texture and render models to give them the appearance of photo-realism
Texture and render models to give them the appearance of photo-realism",https://www.coursera.org/learn/3d-game-prop-production,669
